"GameId" "Date" "HomeTeam" "AwayTeam" "HomeGoals" "HomeShots" "AwayGoals" "AwayShots"
"95" 21744 "Game # 95. 22 September 2008, Monday, " "Salavat Yulaev Ufa" "Neftekhimik Nizhnekamsk" "3" "42" "5" "38"
"96" 21745 "Game # 96. 22 September 2008, Monday, " "CSKA Moscow" "Dinamo Riga" "3" "24" "4" "17"
"97" 21746 "Game # 97. 22 September 2008, Monday, " "Spartak Moscow" "Dinamo Minsk" "1" "30" "1" "26"
"98" 21747 "Game # 98. 23 September 2008, Tuesday, " "Torpedo Nizhny Novgorod" "Severstal Cherepovets" "0" "18" "1" "14"
"99" 21748 "Game # 99. 23 September 2008, Tuesday, " "HC MVD" "Lokomotiv Yaroslavl" "2" "31" "5" "22"
"100" 21749 "Game # 100. 23 September 2008, Tuesday, " "Atlant Moscow Region" "SKA Saint Petersburg" "4" "30" "1" "40"
"101" 21750 "Game # 101. 23 September 2008, Tuesday, " "Amur Khabarovsk" "" "4" "27" "2" "33"
"102" 21751 "Game # 102. 23 September 2008, Tuesday, " "Metallurg Novokuznetsk" "Avangard Omsk Region" "2" "16" "3" "28"
"103" 21752 "Game # 103. 23 September 2008, Tuesday, " "Sibir Novosibirsk Region" "Barys Astana" "2" "26" "4" "33"
"104" 21753 "Game # 104. 23 September 2008, Tuesday, " "Traktor Chelyabinsk" "Lada" "2" "26" "6" "32"
"105" 21754 "Game # 105. 23 September 2008, Tuesday, " "Salavat Yulaev Ufa" "Ak Bars Kazan" "4" "33" "2" "25"
"106" 21755 "Game # 106. 24 September 2008, Wednesday, " "CSKA Moscow" "Dynamo M" "3" "28" "2" "23"
"107" 21756 "Game # 107. 24 September 2008, Wednesday, " "Spartak Moscow" "Dinamo Riga" "5" "33" "1" "24"
"108" 21757 "Game # 108. 24 September 2008, Wednesday, " "Vityaz Moscow Region" "Dinamo Minsk" "0" "31" "2" "22"
"109" 21758 "Game # 109. 25 September 2008, Thursday, " "Torpedo Nizhny Novgorod" "Lokomotiv Yaroslavl" "2" "31" "1" "30"
"110" 21759 "Game # 110. 25 September 2008, Thursday, " "HC MVD" "SKA Saint Petersburg" "0" "16" "3" "27"
"111" 21760 "Game # 111. 25 September 2008, Thursday, " "Atlant Moscow Region" "Severstal Cherepovets" "6" "36" "1" "33"
"112" 21761 "Game # 112. 25 September 2008, Thursday, " "Amur Khabarovsk" "Avangard Omsk Region" "0" "14" "4" "22"
"113" 21762 "Game # 113. 25 September 2008, Thursday, " "Metallurg Novokuznetsk" "Barys Astana" "3" "28" "4" "50"
"114" 21763 "Game # 114. 25 September 2008, Thursday, " "Sibir Novosibirsk Region" "" "3" "32" "3" "19"
"115" 21764 "Game # 115. 25 September 2008, Thursday, " "Salavat Yulaev Ufa" "Lada" "2" "33" "1" "18"
"116" 21765 "Game # 116. 26 September 2008, Friday, " "Amur Khabarovsk" "Avangard Omsk Region" "3" "29" "4" "30"
