"","X","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomePDO","AwayPDO","HomeTSR","AwayTSR","HomeWins","AwayWins"
"78",78,21727,2008-09-17,"Dynamo M","Torpedo Nizhny Novgorod",4,20,1,26,1162,838,0.434782608695652,0.565217391304348,"win","loss"
"79",79,21728,2008-09-18,"Metallurg Novokuznetsk","Salavat Yulaev Ufa",2,16,1,49,1105,895,0.246153846153846,0.753846153846154,"win","loss"
"80",80,21729,2008-09-18,"Metallurg Magnitogorsk","Neftekhimik Nizhnekamsk",4,30,3,24,1008,992,0.555555555555556,0.444444444444444,"win","loss"
"81",81,21730,2008-09-18,"Spartak Moscow","Vityaz Moscow Region",5,33,2,27,1077,923,0.55,0.45,"win","loss"
"82",82,21731,2008-09-19,"Atlant Moscow Region","Dynamo M",6,31,3,32,1100,900,0.492063492063492,0.507936507936508,"win","loss"
"83",83,21732,2008-09-19,"Metallurg Magnitogorsk","Ak Bars Kazan",3,31,5,29,924,1076,0.516666666666667,0.483333333333333,"loss","win"
"84",84,21733,2008-09-19,"Avangard Omsk Region","Lada",5,24,1,21,1161,839,0.533333333333333,0.466666666666667,"win","loss"
"85",85,21734,2008-09-19,"CSKA Moscow","SKA Saint Petersburg",1,20,0,27,1050,950,0.425531914893617,0.574468085106383,"win","loss"
"86",86,21735,2008-09-20,"Traktor Chelyabinsk","Neftekhimik Nizhnekamsk",3,29,3,32,1010,990,0.475409836065574,0.524590163934426,"draw","draw"
"87",87,21736,2008-09-21,"Torpedo Nizhny Novgorod","SKA Saint Petersburg",4,20,2,31,1135,865,0.392156862745098,0.607843137254902,"win","loss"
"88",88,21737,2008-09-21,"HC MVD","Severstal Cherepovets",4,24,3,18,1000,1000,0.571428571428571,0.428571428571429,"win","loss"
"89",89,21738,2008-09-21,"Atlant Moscow Region","Lokomotiv Yaroslavl",4,27,3,23,1018,982,0.54,0.46,"win","loss"
"90",90,21739,2008-09-21,"Amur Khabarovsk","Barys Astana",1,23,2,36,988,1012,0.389830508474576,0.610169491525424,"loss","win"
"91",91,21740,2008-09-21,"Metallurg Novokuznetsk","Khimik",2,27,2,40,1024,976,0.402985074626866,0.597014925373134,"draw","draw"
"92",92,21741,2008-09-21,"Sibir Novosibirsk Region","Avangard Omsk Region",2,24,3,31,987,1013,0.436363636363636,0.563636363636364,"loss","win"
"93",93,21742,2008-09-21,"Metallurg Magnitogorsk","Lada",1,46,1,25,982,1018,0.647887323943662,0.352112676056338,"draw","draw"
"94",94,21743,2008-09-21,"Traktor Chelyabinsk","Ak Bars Kazan",4,19,1,26,1172,828,0.422222222222222,0.577777777777778,"win","loss"
"95",95,21744,2008-09-22,"Salavat Yulaev Ufa","Neftekhimik Nizhnekamsk",3,42,5,38,940,1060,0.525,0.475,"loss","win"
"96",96,21745,2008-09-22,"CSKA Moscow","Dinamo Riga",3,24,4,17,890,1110,0.585365853658537,0.414634146341463,"loss","win"
"97",97,21746,2008-09-22,"Spartak Moscow","Dinamo Minsk",1,30,1,26,995,1005,0.535714285714286,0.464285714285714,"draw","draw"
"98",98,21747,2008-09-23,"Torpedo Nizhny Novgorod","Severstal Cherepovets",0,18,1,14,929,1071,0.5625,0.4375,"loss","win"
"99",99,21748,2008-09-23,"HC MVD","Lokomotiv Yaroslavl",2,31,5,22,837,1163,0.584905660377358,0.415094339622642,"loss","win"
"100",100,21749,2008-09-23,"Atlant Moscow Region","SKA Saint Petersburg",4,30,1,40,1108,892,0.428571428571429,0.571428571428571,"win","loss"
"101",101,21750,2008-09-23,"Amur Khabarovsk","Khimik",4,27,2,33,1088,912,0.45,0.55,"win","loss"
"102",102,21751,2008-09-23,"Metallurg Novokuznetsk","Avangard Omsk Region",2,16,3,28,1018,982,0.363636363636364,0.636363636363636,"loss","win"
"103",103,21752,2008-09-23,"Sibir Novosibirsk Region","Barys Astana",2,26,4,33,956,1044,0.440677966101695,0.559322033898305,"loss","win"
"104",104,21753,2008-09-23,"Traktor Chelyabinsk","Lada",2,26,6,32,889,1111,0.448275862068966,0.551724137931034,"loss","win"
"105",105,21754,2008-09-23,"Salavat Yulaev Ufa","Ak Bars Kazan",4,33,2,25,1041,959,0.568965517241379,0.431034482758621,"win","loss"
"106",106,21755,2008-09-24,"CSKA Moscow","Dynamo M",3,28,2,23,1020,980,0.549019607843137,0.450980392156863,"win","loss"
"107",107,21756,2008-09-24,"Spartak Moscow","Dinamo Riga",5,33,1,24,1110,890,0.578947368421053,0.421052631578947,"win","loss"
"108",108,21757,2008-09-24,"Vityaz Moscow Region","Dinamo Minsk",0,31,2,22,909,1091,0.584905660377358,0.415094339622642,"loss","win"
"109",109,21758,2008-09-25,"Torpedo Nizhny Novgorod","Lokomotiv Yaroslavl",2,31,1,30,1031,969,0.508196721311475,0.491803278688525,"win","loss"
"110",110,21759,2008-09-25,"HC MVD","SKA Saint Petersburg",0,16,3,27,889,1111,0.372093023255814,0.627906976744186,"loss","win"
"111",111,21760,2008-09-25,"Atlant Moscow Region","Severstal Cherepovets",6,36,1,33,1136,864,0.521739130434783,0.478260869565217,"win","loss"
"112",112,21761,2008-09-25,"Amur Khabarovsk","Avangard Omsk Region",0,14,4,22,818,1182,0.388888888888889,0.611111111111111,"loss","win"
"113",113,21762,2008-09-25,"Metallurg Novokuznetsk","Barys Astana",3,28,4,50,1027,973,0.358974358974359,0.641025641025641,"loss","win"
"114",114,21763,2008-09-25,"Sibir Novosibirsk Region","Khimik",3,32,3,19,936,1064,0.627450980392157,0.372549019607843,"draw","draw"
