"","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots"
"121",37898,"Game # 121. 27 September 2013, Friday, 19:30","Ak Bars Kazan","Severstal Cherepovets",1,24,0,25
"122",37899,"Game # 122. 27 September 2013, Friday, 19:00","Torpedo Nizhny Novgorod","Lokomotiv Yaroslavl",5,31,0,21
"123",37900,"Game # 123. 27 September 2013, Friday, 19:30","Dynamo Moscow","SKA Saint Petersburg",2,34,6,35
"124",37901,"Game # 124. 28 September 2013, Saturday, 17:00","Spartak Moscow","Avangard Omsk Region",2,32,2,24
"125",37902,"Game # 125. 28 September 2013, Saturday, 18:00","Donbass Donetsk","Ugra Khanty-Mansiysk",2,32,0,27
"126",37903,"Game # 126. 28 September 2013, Saturday, 18:00","Dinamo Minsk","Avtomobilist Yekaterinburg",2,36,0,23
"127",37904,"Game # 127. 28 September 2013, Saturday, 19:30","Medvescak Zagreb","Barys Astana",3,35,2,35
"128",37905,"Game # 128. 29 September 2013, Sunday, 10:00","Admiral Vladivostok","Dinamo Riga",3,20,0,24
"129",37906,"Game # 129. 29 September 2013, Sunday, 10:00","Amur Khabarovsk","CSKA Moscow",1,31,3,32
"130",37907,"Game # 130. 29 September 2013, Sunday, 14:00","Metallurg Novokuznetsk","Slovan Bratislava",1,26,3,33
"131",37908,"Game # 131. 29 September 2013, Sunday, 14:00","Sibir Novosibirsk Region","Lev Prague",5,25,3,42
"132",37909,"Game # 132. 29 September 2013, Sunday, 15:00","Metallurg Magnitogorsk","Neftekhimik Nizhnekamsk",4,36,3,32
"133",37910,"Game # 133. 29 September 2013, Sunday, 15:00","Salavat Yulaev Ufa","Traktor Chelyabinsk",3,49,1,21
"134",37911,"Game # 134. 29 September 2013, Sunday, 17:30","Ak Bars Kazan","Lokomotiv Yaroslavl",2,25,0,25
"135",37912,"Game # 135. 29 September 2013, Sunday, 17:00","Torpedo Nizhny Novgorod","Severstal Cherepovets",0,22,2,23
"136",37913,"Game # 136. 29 September 2013, Sunday, 17:30","Vityaz Moscow Region","SKA Saint Petersburg",2,31,2,34
"137",37914,"Game # 137. 29 September 2013, Sunday, 17:00","Dynamo Moscow","Atlant Moscow Region",3,25,2,27
"138",37915,"Game # 138. 30 September 2013, Monday, 19:30","Spartak Moscow","Ugra Khanty-Mansiysk",0,36,1,22
"139",37916,"Game # 139. 30 September 2013, Monday, 20:00","Donbass Donetsk","Avangard Omsk Region",6,25,1,28
"140",37917,"Game # 140. 30 September 2013, Monday, 20:00","Dinamo Minsk","Barys Astana",2,41,5,33
"141",37918,"Game # 141. 30 September 2013, Monday, 21:30","Medvescak Zagreb","Avtomobilist Yekaterinburg",3,21,0,32
"142",37919,"Game # 142.  1 October 2013, Tuesday, 13:00","Admiral Vladivostok","Lev Prague",2,32,3,34
"143",37920,"Game # 143.  1 October 2013, Tuesday, 12:00","Amur Khabarovsk","Slovan Bratislava",2,33,5,28
"144",37921,"Game # 144.  1 October 2013, Tuesday, 16:00","Metallurg Novokuznetsk","CSKA Moscow",2,28,3,40
