"","X","X.1","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomeWins","AwayWins","HomePDO","AwayPDO","HomeTSR","AwayTSR"
"137",137,137,37914,2013-09-29,"Dynamo Moscow","Atlant Moscow Region",3,25,2,27,"win","loss",1046,954,0.480769230769231,0.519230769230769
"138",138,138,37915,2013-09-30,"Spartak Moscow","Ugra Khanty-Mansiysk",0,36,1,22,"loss","win",955,1045,0.620689655172414,0.379310344827586
"139",139,139,37916,2013-09-30,"Donbass Donetsk","Avangard Omsk Region",6,25,1,28,"win","loss",1204,796,0.471698113207547,0.528301886792453
"140",140,140,37917,2013-09-30,"Dinamo Minsk","Barys Astana",2,41,5,33,"loss","win",897,1103,0.554054054054054,0.445945945945946
"141",141,141,37918,2013-09-30,"Medvescak Zagreb","Avtomobilist Yekaterinburg",3,21,0,32,"win","loss",1143,857,0.39622641509434,0.60377358490566
"142",142,142,37919,2013-10-01,"Admiral Vladivostok","Lev Prague",2,32,3,34,"loss","win",974,1026,0.484848484848485,0.515151515151515
"143",143,143,37920,2013-10-01,"Amur Khabarovsk","Slovan Bratislava",2,33,5,28,"loss","win",882,1118,0.540983606557377,0.459016393442623
"144",144,144,37921,2013-10-01,"Metallurg Novokuznetsk","CSKA Moscow",2,28,3,40,"loss","win",996,1004,0.411764705882353,0.588235294117647
"145",145,145,37922,2013-10-01,"Sibir Novosibirsk Region","Dinamo Riga",1,30,4,32,"loss","win",908,1092,0.483870967741935,0.516129032258065
"146",146,146,37923,2013-10-01,"Ak Bars Kazan","Atlant Moscow Region",4,24,2,21,"win","loss",1071,929,0.533333333333333,0.466666666666667
"147",147,147,37924,2013-10-01,"Torpedo Nizhny Novgorod","SKA Saint Petersburg",5,23,2,26,"win","loss",1140,860,0.469387755102041,0.530612244897959
"148",148,148,37925,2013-10-01,"Vityaz Moscow Region","Lokomotiv Yaroslavl",2,34,3,28,"loss","win",952,1048,0.548387096774194,0.451612903225806
"149",149,149,37926,2013-10-01,"Dynamo Moscow","Severstal Cherepovets",3,33,1,20,"win","loss",1041,959,0.622641509433962,0.377358490566038
"150",150,150,37927,2013-10-02,"Neftekhimik Nizhnekamsk","Salavat Yulaev Ufa",4,34,3,28,"win","loss",1011,989,0.548387096774194,0.451612903225806
"151",151,151,37928,2013-10-02,"Spartak Moscow","Barys Astana",3,26,4,26,"loss","win",962,1038,0.5,0.5
"152",152,152,37929,2013-10-02,"Donbass Donetsk","Avtomobilist Yekaterinburg",4,26,2,23,"win","loss",1067,933,0.530612244897959,0.469387755102041
"153",153,153,37930,2013-10-02,"Dinamo Minsk","Ugra Khanty-Mansiysk",5,28,3,34,"win","loss",1090,910,0.451612903225806,0.548387096774194
"154",154,154,37931,2013-10-02,"Medvescak Zagreb","Avangard Omsk Region",4,16,0,39,"win","loss",1250,750,0.290909090909091,0.709090909090909
"155",155,155,37932,2013-10-03,"Admiral Vladivostok","Slovan Bratislava",3,37,1,27,"win","loss",1044,956,0.578125,0.421875
"156",156,156,37933,2013-10-03,"Amur Khabarovsk","Lev Prague",3,31,0,35,"win","loss",1097,903,0.46969696969697,0.53030303030303
"157",157,157,37934,2013-10-03,"Metallurg Novokuznetsk","Dinamo Riga",0,35,2,25,"loss","win",920,1080,0.583333333333333,0.416666666666667
"158",158,158,37935,2013-10-03,"Sibir Novosibirsk Region","CSKA Moscow",3,35,2,34,"win","loss",1027,973,0.507246376811594,0.492753623188406
"159",159,159,37936,2013-09-26,"Traktor Chelyabinsk","Metallurg Magnitogorsk",0,34,5,24,"loss","win",792,1208,0.586206896551724,0.413793103448276
"160",160,160,37937,2013-10-03,"Ak Bars Kazan","SKA Saint Petersburg",1,31,3,28,"loss","win",925,1075,0.525423728813559,0.474576271186441
"161",161,161,37938,2013-10-03,"Torpedo Nizhny Novgorod","Atlant Moscow Region",1,28,3,17,"loss","win",859,1141,0.622222222222222,0.377777777777778
"162",162,162,37939,2013-10-03,"Vityaz Moscow Region","Severstal Cherepovets",3,27,1,29,"win","loss",1077,923,0.482142857142857,0.517857142857143
"163",163,163,37940,2013-10-03,"Dynamo Moscow","Lokomotiv Yaroslavl",1,27,3,31,"loss","win",940,1060,0.46551724137931,0.53448275862069
"164",164,164,37941,2013-10-04,"Dinamo Minsk","Avangard Omsk Region",4,25,3,37,"win","loss",1079,921,0.403225806451613,0.596774193548387
"165",165,165,37942,2013-10-05,"Dynamo Moscow","Spartak Moscow",2,32,1,18,"win","loss",1007,993,0.64,0.36
"166",166,166,37943,2013-10-06,"Avtomobilist Yekaterinburg","Donbass Donetsk",0,25,3,30,"loss","win",900,1100,0.454545454545455,0.545454545454545
"167",167,167,37944,2013-10-07,"Lokomotiv Yaroslavl","Metallurg Novokuznetsk",1,41,0,22,"win","loss",1024,976,0.650793650793651,0.349206349206349
"168",168,168,37945,2013-10-07,"Severstal Cherepovets","Sibir Novosibirsk Region",2,39,3,33,"loss","win",960,1040,0.541666666666667,0.458333333333333
"169",169,169,37946,2013-10-07,"Atlant Moscow Region","Admiral Vladivostok",2,13,1,35,"win","loss",1125,875,0.270833333333333,0.729166666666667
"170",170,170,37947,2013-10-07,"SKA Saint Petersburg","Amur Khabarovsk",4,37,3,23,"win","loss",978,1022,0.616666666666667,0.383333333333333
"171",171,171,37948,2013-10-07,"CSKA Moscow","Salavat Yulaev Ufa",3,26,2,26,"win","loss",1038,962,0.5,0.5
"172",172,172,37949,2013-10-07,"Lev Prague","Metallurg Magnitogorsk",3,30,4,26,"loss","win",946,1054,0.535714285714286,0.464285714285714
"173",173,173,37950,2013-10-07,"Medvescak Zagreb","Neftekhimik Nizhnekamsk",6,38,0,30,"win","loss",1158,842,0.558823529411765,0.441176470588235
"174",174,174,37951,2013-10-08,"Avangard Omsk Region","Dynamo Moscow",0,36,6,23,"loss","win",739,1261,0.610169491525424,0.389830508474576
"175",175,175,37952,2013-10-08,"Barys Astana","Vityaz Moscow Region",2,39,2,23,"draw","draw",964,1036,0.629032258064516,0.370967741935484
"176",176,176,37953,2013-10-08,"Ugra Khanty-Mansiysk","Ak Bars Kazan",3,28,4,33,"loss","win",986,1014,0.459016393442623,0.540983606557377
"177",177,177,37954,2013-10-08,"Avtomobilist Yekaterinburg","Torpedo Nizhny Novgorod",2,30,4,33,"loss","win",945,1055,0.476190476190476,0.523809523809524
"178",178,178,37955,2013-10-08,"Spartak Moscow","Donbass Donetsk",2,33,1,23,"win","loss",1017,983,0.589285714285714,0.410714285714286
"179",179,179,37956,2013-10-09,"Lokomotiv Yaroslavl","Admiral Vladivostok",4,32,0,37,"win","loss",1125,875,0.463768115942029,0.536231884057971
"180",180,180,37957,2013-10-09,"Severstal Cherepovets","Amur Khabarovsk",3,40,2,39,"win","loss",1024,976,0.506329113924051,0.493670886075949
